Disease,Symptom_1,Symptom_2,Symptom_3,Symptom_4,Symptom_5,Symptom_6,Symptom_7,Symptom_8,Symptom_9,Symptom_10,Symptom_11,Symptom_12,Symptom_13,Symptom_14,Symptom_15,Symptom_16,Symptom_17,signature,group_id
Diabetes mellitus,fatigue,weight_loss,restlessness,lethargy,blurred_and_distorted_vision,obesity,excessive_hunger,increased_appetite,polyuria,,,,,,,,,"('Diabetes mellitus', frozenset({'excessive_hunger', 'weight_loss', 'fatigue', 'restlessness', 'blurred_and_distorted_vision', 'lethargy', 'polyuria', 'obesity', 'increased_appetite'}))",5
Diabetes mellitus,fatigue,weight_loss,restlessness,lethargy,irregular_sugar_level,blurred_and_distorted_vision,excessive_hunger,increased_appetite,polyuria,,,,,,,,,"('Diabetes mellitus', frozenset({'excessive_hunger', 'weight_loss', 'fatigue', 'restlessness', 'blurred_and_distorted_vision', 'lethargy', 'polyuria', 'increased_appetite', 'irregular_sugar_level'}))",7
Diabetes mellitus,weight_loss,restlessness,lethargy,irregular_sugar_level,blurred_and_distorted_vision,obesity,excessive_hunger,increased_appetite,polyuria,,,,,,,,,"('Diabetes mellitus', frozenset({'excessive_hunger', 'weight_loss', 'restlessness', 'blurred_and_distorted_vision', 'lethargy', 'polyuria', 'obesity', 'increased_appetite', 'irregular_sugar_level'}))",1
Diabetes mellitus,fatigue,weight_loss,lethargy,irregular_sugar_level,blurred_and_distorted_vision,obesity,excessive_hunger,increased_appetite,polyuria,,,,,,,,,"('Diabetes mellitus', frozenset({'excessive_hunger', 'weight_loss', 'fatigue', 'blurred_and_distorted_vision', 'lethargy', 'polyuria', 'obesity', 'increased_appetite', 'irregular_sugar_level'}))",3
Diabetes mellitus,fatigue,weight_loss,restlessness,lethargy,blurred_and_distorted_vision,obesity,excessive_hunger,increased_appetite,polyuria,,,,,,,,,"('Diabetes mellitus', frozenset({'excessive_hunger', 'weight_loss', 'fatigue', 'restlessness', 'blurred_and_distorted_vision', 'lethargy', 'polyuria', 'obesity', 'increased_appetite'}))",5
Diabetes mellitus,fatigue,weight_loss,restlessness,lethargy,irregular_sugar_level,blurred_and_distorted_vision,excessive_hunger,increased_appetite,polyuria,,,,,,,,,"('Diabetes mellitus', frozenset({'excessive_hunger', 'weight_loss', 'fatigue', 'restlessness', 'blurred_and_distorted_vision', 'lethargy', 'polyuria', 'increased_appetite', 'irregular_sugar_level'}))",7
Diabetes mellitus,weight_loss,restlessness,lethargy,irregular_sugar_level,blurred_and_distorted_vision,obesity,excessive_hunger,increased_appetite,polyuria,,,,,,,,,"('Diabetes mellitus', frozenset({'excessive_hunger', 'weight_loss', 'restlessness', 'blurred_and_distorted_vision', 'lethargy', 'polyuria', 'obesity', 'increased_appetite', 'irregular_sugar_level'}))",1
Diabetes mellitus,fatigue,weight_loss,lethargy,irregular_sugar_level,blurred_and_distorted_vision,obesity,excessive_hunger,increased_appetite,polyuria,,,,,,,,,"('Diabetes mellitus', frozenset({'excessive_hunger', 'weight_loss', 'fatigue', 'blurred_and_distorted_vision', 'lethargy', 'polyuria', 'obesity', 'increased_appetite', 'irregular_sugar_level'}))",3
Diabetes mellitus,fatigue,weight_loss,restlessness,lethargy,blurred_and_distorted_vision,obesity,excessive_hunger,increased_appetite,polyuria,,,,,,,,,"('Diabetes mellitus', frozenset({'excessive_hunger', 'weight_loss', 'fatigue', 'restlessness', 'blurred_and_distorted_vision', 'lethargy', 'polyuria', 'obesity', 'increased_appetite'}))",5
Diabetes mellitus,fatigue,weight_loss,restlessness,lethargy,irregular_sugar_level,blurred_and_distorted_vision,excessive_hunger,increased_appetite,polyuria,,,,,,,,,"('Diabetes mellitus', frozenset({'excessive_hunger', 'weight_loss', 'fatigue', 'restlessness', 'blurred_and_distorted_vision', 'lethargy', 'polyuria', 'increased_appetite', 'irregular_sugar_level'}))",7
Diabetes mellitus,weight_loss,restlessness,lethargy,irregular_sugar_level,blurred_and_distorted_vision,obesity,excessive_hunger,increased_appetite,polyuria,,,,,,,,,"('Diabetes mellitus', frozenset({'excessive_hunger', 'weight_loss', 'restlessness', 'blurred_and_distorted_vision', 'lethargy', 'polyuria', 'obesity', 'increased_appetite', 'irregular_sugar_level'}))",1
Diabetes mellitus,fatigue,weight_loss,lethargy,irregular_sugar_level,blurred_and_distorted_vision,obesity,excessive_hunger,increased_appetite,polyuria,,,,,,,,,"('Diabetes mellitus', frozenset({'excessive_hunger', 'weight_loss', 'fatigue', 'blurred_and_distorted_vision', 'lethargy', 'polyuria', 'obesity', 'increased_appetite', 'irregular_sugar_level'}))",3
Diabetes mellitus,fatigue,weight_loss,restlessness,lethargy,blurred_and_distorted_vision,obesity,excessive_hunger,increased_appetite,polyuria,,,,,,,,,"('Diabetes mellitus', frozenset({'excessive_hunger', 'weight_loss', 'fatigue', 'restlessness', 'blurred_and_distorted_vision', 'lethargy', 'polyuria', 'obesity', 'increased_appetite'}))",5
Diabetes mellitus,fatigue,weight_loss,restlessness,lethargy,irregular_sugar_level,blurred_and_distorted_vision,excessive_hunger,increased_appetite,polyuria,,,,,,,,,"('Diabetes mellitus', frozenset({'excessive_hunger', 'weight_loss', 'fatigue', 'restlessness', 'blurred_and_distorted_vision', 'lethargy', 'polyuria', 'increased_appetite', 'irregular_sugar_level'}))",7
Malaria,chills,vomiting,high_fever,sweating,headache,nausea,muscle_pain,,,,,,,,,,,"('Malaria', frozenset({'chills', 'headache', 'nausea', 'high_fever', 'muscle_pain', 'vomiting', 'sweating'}))",9
Malaria,chills,vomiting,sweating,headache,nausea,diarrhoea,muscle_pain,,,,,,,,,,,"('Malaria', frozenset({'chills', 'headache', 'nausea', 'muscle_pain', 'diarrhoea', 'vomiting', 'sweating'}))",13
Malaria,chills,vomiting,high_fever,sweating,nausea,diarrhoea,muscle_pain,,,,,,,,,,,"('Malaria', frozenset({'chills', 'nausea', 'high_fever', 'muscle_pain', 'diarrhoea', 'vomiting', 'sweating'}))",15
Malaria,chills,vomiting,high_fever,sweating,headache,nausea,muscle_pain,,,,,,,,,,,"('Malaria', frozenset({'chills', 'headache', 'nausea', 'high_fever', 'muscle_pain', 'vomiting', 'sweating'}))",9
Malaria,chills,vomiting,high_fever,sweating,headache,nausea,muscle_pain,,,,,,,,,,,"('Malaria', frozenset({'chills', 'headache', 'nausea', 'high_fever', 'muscle_pain', 'vomiting', 'sweating'}))",9
Malaria,chills,vomiting,sweating,headache,nausea,diarrhoea,muscle_pain,,,,,,,,,,,"('Malaria', frozenset({'chills', 'headache', 'nausea', 'muscle_pain', 'diarrhoea', 'vomiting', 'sweating'}))",13
Malaria,chills,vomiting,high_fever,sweating,nausea,diarrhoea,muscle_pain,,,,,,,,,,,"('Malaria', frozenset({'chills', 'nausea', 'high_fever', 'muscle_pain', 'diarrhoea', 'vomiting', 'sweating'}))",15
Malaria,chills,vomiting,high_fever,sweating,headache,nausea,muscle_pain,,,,,,,,,,,"('Malaria', frozenset({'chills', 'headache', 'nausea', 'high_fever', 'muscle_pain', 'vomiting', 'sweating'}))",9
Malaria,chills,vomiting,high_fever,sweating,headache,nausea,muscle_pain,,,,,,,,,,,"('Malaria', frozenset({'chills', 'headache', 'nausea', 'high_fever', 'muscle_pain', 'vomiting', 'sweating'}))",9
Malaria,chills,vomiting,sweating,headache,nausea,diarrhoea,muscle_pain,,,,,,,,,,,"('Malaria', frozenset({'chills', 'headache', 'nausea', 'muscle_pain', 'diarrhoea', 'vomiting', 'sweating'}))",13
Malaria,chills,vomiting,high_fever,sweating,nausea,diarrhoea,muscle_pain,,,,,,,,,,,"('Malaria', frozenset({'chills', 'nausea', 'high_fever', 'muscle_pain', 'diarrhoea', 'vomiting', 'sweating'}))",15
Malaria,chills,vomiting,high_fever,sweating,headache,nausea,muscle_pain,,,,,,,,,,,"('Malaria', frozenset({'chills', 'headache', 'nausea', 'high_fever', 'muscle_pain', 'vomiting', 'sweating'}))",9
Malaria,chills,vomiting,high_fever,sweating,headache,nausea,muscle_pain,,,,,,,,,,,"('Malaria', frozenset({'chills', 'headache', 'nausea', 'high_fever', 'muscle_pain', 'vomiting', 'sweating'}))",9
Malaria,chills,vomiting,sweating,headache,nausea,diarrhoea,muscle_pain,,,,,,,,,,,"('Malaria', frozenset({'chills', 'headache', 'nausea', 'muscle_pain', 'diarrhoea', 'vomiting', 'sweating'}))",13
Malaria,chills,vomiting,high_fever,sweating,nausea,diarrhoea,muscle_pain,,,,,,,,,,,"('Malaria', frozenset({'chills', 'nausea', 'high_fever', 'muscle_pain', 'diarrhoea', 'vomiting', 'sweating'}))",15
Malaria,chills,vomiting,high_fever,sweating,headache,nausea,muscle_pain,,,,,,,,,,,"('Malaria', frozenset({'chills', 'headache', 'nausea', 'high_fever', 'muscle_pain', 'vomiting', 'sweating'}))",9
Malaria,chills,vomiting,high_fever,sweating,headache,nausea,muscle_pain,,,,,,,,,,,"('Malaria', frozenset({'chills', 'headache', 'nausea', 'high_fever', 'muscle_pain', 'vomiting', 'sweating'}))",9
Malaria,chills,vomiting,sweating,headache,nausea,diarrhoea,muscle_pain,,,,,,,,,,,"('Malaria', frozenset({'chills', 'headache', 'nausea', 'muscle_pain', 'diarrhoea', 'vomiting', 'sweating'}))",13
Malaria,chills,vomiting,high_fever,sweating,nausea,diarrhoea,muscle_pain,,,,,,,,,,,"('Malaria', frozenset({'chills', 'nausea', 'high_fever', 'muscle_pain', 'diarrhoea', 'vomiting', 'sweating'}))",15
Malaria,chills,vomiting,high_fever,sweating,headache,nausea,muscle_pain,,,,,,,,,,,"('Malaria', frozenset({'chills', 'headache', 'nausea', 'high_fever', 'muscle_pain', 'vomiting', 'sweating'}))",9
Malaria,chills,vomiting,high_fever,sweating,headache,nausea,muscle_pain,,,,,,,,,,,"('Malaria', frozenset({'chills', 'headache', 'nausea', 'high_fever', 'muscle_pain', 'vomiting', 'sweating'}))",9
Malaria,chills,vomiting,sweating,headache,nausea,diarrhoea,muscle_pain,,,,,,,,,,,"('Malaria', frozenset({'chills', 'headache', 'nausea', 'muscle_pain', 'diarrhoea', 'vomiting', 'sweating'}))",13
Malaria,chills,vomiting,high_fever,sweating,nausea,diarrhoea,muscle_pain,,,,,,,,,,,"('Malaria', frozenset({'chills', 'nausea', 'high_fever', 'muscle_pain', 'diarrhoea', 'vomiting', 'sweating'}))",15
Malaria,chills,vomiting,high_fever,sweating,headache,nausea,muscle_pain,,,,,,,,,,,"('Malaria', frozenset({'chills', 'headache', 'nausea', 'high_fever', 'muscle_pain', 'vomiting', 'sweating'}))",9
Pneumonia,chills,fatigue,cough,high_fever,breathlessness,sweating,malaise,chest_pain,fast_heart_rate,rusty_sputum,,,,,,,,"('Pneumonia', frozenset({'fast_heart_rate', 'rusty_sputum', 'chills', 'fatigue', 'sweating', 'chest_pain', 'high_fever', 'breathlessness', 'cough', 'malaise'}))",26
Pneumonia,chills,cough,high_fever,breathlessness,sweating,malaise,phlegm,chest_pain,fast_heart_rate,rusty_sputum,,,,,,,,"('Pneumonia', frozenset({'cough', 'phlegm', 'fast_heart_rate', 'rusty_sputum', 'chills', 'chest_pain', 'high_fever', 'breathlessness', 'sweating', 'malaise'}))",29
Pneumonia,chills,fatigue,cough,breathlessness,sweating,malaise,phlegm,chest_pain,fast_heart_rate,rusty_sputum,,,,,,,,"('Pneumonia', frozenset({'phlegm', 'fast_heart_rate', 'rusty_sputum', 'chills', 'fatigue', 'sweating', 'chest_pain', 'breathlessness', 'cough', 'malaise'}))",31
Pneumonia,chills,fatigue,cough,high_fever,breathlessness,malaise,phlegm,chest_pain,fast_heart_rate,rusty_sputum,,,,,,,,"('Pneumonia', frozenset({'phlegm', 'fast_heart_rate', 'rusty_sputum', 'chills', 'fatigue', 'chest_pain', 'high_fever', 'breathlessness', 'cough', 'malaise'}))",33
Pneumonia,chills,fatigue,cough,high_fever,breathlessness,sweating,malaise,chest_pain,fast_heart_rate,rusty_sputum,,,,,,,,"('Pneumonia', frozenset({'fast_heart_rate', 'rusty_sputum', 'chills', 'fatigue', 'sweating', 'chest_pain', 'high_fever', 'breathlessness', 'cough', 'malaise'}))",26
Pneumonia,chills,cough,high_fever,breathlessness,sweating,malaise,phlegm,chest_pain,fast_heart_rate,rusty_sputum,,,,,,,,"('Pneumonia', frozenset({'cough', 'phlegm', 'fast_heart_rate', 'rusty_sputum', 'chills', 'chest_pain', 'high_fever', 'breathlessness', 'sweating', 'malaise'}))",29
Pneumonia,chills,fatigue,cough,breathlessness,sweating,malaise,phlegm,chest_pain,fast_heart_rate,rusty_sputum,,,,,,,,"('Pneumonia', frozenset({'phlegm', 'fast_heart_rate', 'rusty_sputum', 'chills', 'fatigue', 'sweating', 'chest_pain', 'breathlessness', 'cough', 'malaise'}))",31
Pneumonia,chills,fatigue,cough,high_fever,breathlessness,malaise,phlegm,chest_pain,fast_heart_rate,rusty_sputum,,,,,,,,"('Pneumonia', frozenset({'phlegm', 'fast_heart_rate', 'rusty_sputum', 'chills', 'fatigue', 'chest_pain', 'high_fever', 'breathlessness', 'cough', 'malaise'}))",33
Pneumonia,chills,fatigue,cough,high_fever,breathlessness,sweating,malaise,chest_pain,fast_heart_rate,rusty_sputum,,,,,,,,"('Pneumonia', frozenset({'fast_heart_rate', 'rusty_sputum', 'chills', 'fatigue', 'sweating', 'chest_pain', 'high_fever', 'breathlessness', 'cough', 'malaise'}))",26
Pneumonia,chills,cough,high_fever,breathlessness,sweating,malaise,phlegm,chest_pain,fast_heart_rate,rusty_sputum,,,,,,,,"('Pneumonia', frozenset({'cough', 'phlegm', 'fast_heart_rate', 'rusty_sputum', 'chills', 'chest_pain', 'high_fever', 'breathlessness', 'sweating', 'malaise'}))",29
Pneumonia,chills,fatigue,cough,breathlessness,sweating,malaise,phlegm,chest_pain,fast_heart_rate,rusty_sputum,,,,,,,,"('Pneumonia', frozenset({'phlegm', 'fast_heart_rate', 'rusty_sputum', 'chills', 'fatigue', 'sweating', 'chest_pain', 'breathlessness', 'cough', 'malaise'}))",31
Pneumonia,chills,fatigue,cough,high_fever,breathlessness,malaise,phlegm,chest_pain,fast_heart_rate,rusty_sputum,,,,,,,,"('Pneumonia', frozenset({'phlegm', 'fast_heart_rate', 'rusty_sputum', 'chills', 'fatigue', 'chest_pain', 'high_fever', 'breathlessness', 'cough', 'malaise'}))",33
Pneumonia,chills,fatigue,cough,high_fever,breathlessness,sweating,malaise,chest_pain,fast_heart_rate,rusty_sputum,,,,,,,,"('Pneumonia', frozenset({'fast_heart_rate', 'rusty_sputum', 'chills', 'fatigue', 'sweating', 'chest_pain', 'high_fever', 'breathlessness', 'cough', 'malaise'}))",26
Pneumonia,chills,cough,high_fever,breathlessness,sweating,malaise,phlegm,chest_pain,fast_heart_rate,rusty_sputum,,,,,,,,"('Pneumonia', frozenset({'cough', 'phlegm', 'fast_heart_rate', 'rusty_sputum', 'chills', 'chest_pain', 'high_fever', 'breathlessness', 'sweating', 'malaise'}))",29
Pneumonia,chills,fatigue,cough,breathlessness,sweating,malaise,phlegm,chest_pain,fast_heart_rate,rusty_sputum,,,,,,,,"('Pneumonia', frozenset({'phlegm', 'fast_heart_rate', 'rusty_sputum', 'chills', 'fatigue', 'sweating', 'chest_pain', 'breathlessness', 'cough', 'malaise'}))",31
Pneumonia,chills,fatigue,cough,high_fever,breathlessness,malaise,phlegm,chest_pain,fast_heart_rate,rusty_sputum,,,,,,,,"('Pneumonia', frozenset({'phlegm', 'fast_heart_rate', 'rusty_sputum', 'chills', 'fatigue', 'chest_pain', 'high_fever', 'breathlessness', 'cough', 'malaise'}))",33
Pneumonia,chills,fatigue,cough,high_fever,breathlessness,sweating,malaise,chest_pain,fast_heart_rate,rusty_sputum,,,,,,,,"('Pneumonia', frozenset({'fast_heart_rate', 'rusty_sputum', 'chills', 'fatigue', 'sweating', 'chest_pain', 'high_fever', 'breathlessness', 'cough', 'malaise'}))",26
Pneumonia,chills,cough,high_fever,breathlessness,sweating,malaise,phlegm,chest_pain,fast_heart_rate,rusty_sputum,,,,,,,,"('Pneumonia', frozenset({'cough', 'phlegm', 'fast_heart_rate', 'rusty_sputum', 'chills', 'chest_pain', 'high_fever', 'breathlessness', 'sweating', 'malaise'}))",29
Pneumonia,chills,fatigue,cough,breathlessness,sweating,malaise,phlegm,chest_pain,fast_heart_rate,rusty_sputum,,,,,,,,"('Pneumonia', frozenset({'phlegm', 'fast_heart_rate', 'rusty_sputum', 'chills', 'fatigue', 'sweating', 'chest_pain', 'breathlessness', 'cough', 'malaise'}))",31
Pneumonia,chills,fatigue,cough,high_fever,breathlessness,malaise,phlegm,chest_pain,fast_heart_rate,rusty_sputum,,,,,,,,"('Pneumonia', frozenset({'phlegm', 'fast_heart_rate', 'rusty_sputum', 'chills', 'fatigue', 'chest_pain', 'high_fever', 'breathlessness', 'cough', 'malaise'}))",33
Pneumonia,chills,fatigue,cough,high_fever,breathlessness,sweating,malaise,chest_pain,fast_heart_rate,rusty_sputum,,,,,,,,"('Pneumonia', frozenset({'fast_heart_rate', 'rusty_sputum', 'chills', 'fatigue', 'sweating', 'chest_pain', 'high_fever', 'breathlessness', 'cough', 'malaise'}))",26
Pneumonia,chills,cough,high_fever,breathlessness,sweating,malaise,phlegm,chest_pain,fast_heart_rate,rusty_sputum,,,,,,,,"('Pneumonia', frozenset({'cough', 'phlegm', 'fast_heart_rate', 'rusty_sputum', 'chills', 'chest_pain', 'high_fever', 'breathlessness', 'sweating', 'malaise'}))",29
Pneumonia,chills,fatigue,cough,breathlessness,sweating,malaise,phlegm,chest_pain,fast_heart_rate,rusty_sputum,,,,,,,,"('Pneumonia', frozenset({'phlegm', 'fast_heart_rate', 'rusty_sputum', 'chills', 'fatigue', 'sweating', 'chest_pain', 'breathlessness', 'cough', 'malaise'}))",31
Pneumonia,chills,fatigue,cough,high_fever,breathlessness,malaise,phlegm,chest_pain,fast_heart_rate,rusty_sputum,,,,,,,,"('Pneumonia', frozenset({'phlegm', 'fast_heart_rate', 'rusty_sputum', 'chills', 'fatigue', 'chest_pain', 'high_fever', 'breathlessness', 'cough', 'malaise'}))",33
Typhoid fever,chills,vomiting,fatigue,high_fever,nausea,constipation,abdominal_pain,diarrhoea,toxic_look_(typhos),belly_pain,,,,,,,,"('Typhoid fever', frozenset({'chills', 'fatigue', 'nausea', 'high_fever', 'belly_pain', 'constipation', 'diarrhoea', 'vomiting', 'abdominal_pain', 'toxic_look_(typhos)'}))",17
Typhoid fever,chills,vomiting,fatigue,high_fever,headache,nausea,constipation,diarrhoea,toxic_look_(typhos),belly_pain,,,,,,,,"('Typhoid fever', frozenset({'chills', 'fatigue', 'headache', 'nausea', 'high_fever', 'belly_pain', 'constipation', 'diarrhoea', 'vomiting', 'toxic_look_(typhos)'}))",20
Typhoid fever,chills,vomiting,fatigue,high_fever,headache,nausea,constipation,abdominal_pain,toxic_look_(typhos),belly_pain,,,,,,,,"('Typhoid fever', frozenset({'chills', 'fatigue', 'headache', 'nausea', 'high_fever', 'belly_pain', 'constipation', 'vomiting', 'abdominal_pain', 'toxic_look_(typhos)'}))",21
Typhoid fever,chills,vomiting,fatigue,high_fever,headache,nausea,constipation,abdominal_pain,diarrhoea,toxic_look_(typhos),,,,,,,,"('Typhoid fever', frozenset({'chills', 'fatigue', 'headache', 'nausea', 'high_fever', 'constipation', 'diarrhoea', 'vomiting', 'abdominal_pain', 'toxic_look_(typhos)'}))",23
Typhoid fever,chills,vomiting,fatigue,high_fever,nausea,constipation,abdominal_pain,diarrhoea,toxic_look_(typhos),belly_pain,,,,,,,,"('Typhoid fever', frozenset({'chills', 'fatigue', 'nausea', 'high_fever', 'belly_pain', 'constipation', 'diarrhoea', 'vomiting', 'abdominal_pain', 'toxic_look_(typhos)'}))",17
Typhoid fever,chills,vomiting,fatigue,high_fever,headache,nausea,constipation,diarrhoea,toxic_look_(typhos),belly_pain,,,,,,,,"('Typhoid fever', frozenset({'chills', 'fatigue', 'headache', 'nausea', 'high_fever', 'belly_pain', 'constipation', 'diarrhoea', 'vomiting', 'toxic_look_(typhos)'}))",20
Typhoid fever,chills,vomiting,fatigue,high_fever,headache,nausea,constipation,abdominal_pain,toxic_look_(typhos),belly_pain,,,,,,,,"('Typhoid fever', frozenset({'chills', 'fatigue', 'headache', 'nausea', 'high_fever', 'belly_pain', 'constipation', 'vomiting', 'abdominal_pain', 'toxic_look_(typhos)'}))",21
Typhoid fever,chills,vomiting,fatigue,high_fever,headache,nausea,constipation,abdominal_pain,diarrhoea,toxic_look_(typhos),,,,,,,,"('Typhoid fever', frozenset({'chills', 'fatigue', 'headache', 'nausea', 'high_fever', 'constipation', 'diarrhoea', 'vomiting', 'abdominal_pain', 'toxic_look_(typhos)'}))",23
Typhoid fever,chills,vomiting,fatigue,high_fever,nausea,constipation,abdominal_pain,diarrhoea,toxic_look_(typhos),belly_pain,,,,,,,,"('Typhoid fever', frozenset({'chills', 'fatigue', 'nausea', 'high_fever', 'belly_pain', 'constipation', 'diarrhoea', 'vomiting', 'abdominal_pain', 'toxic_look_(typhos)'}))",17
Typhoid fever,chills,vomiting,fatigue,high_fever,headache,nausea,constipation,diarrhoea,toxic_look_(typhos),belly_pain,,,,,,,,"('Typhoid fever', frozenset({'chills', 'fatigue', 'headache', 'nausea', 'high_fever', 'belly_pain', 'constipation', 'diarrhoea', 'vomiting', 'toxic_look_(typhos)'}))",20
Typhoid fever,chills,vomiting,fatigue,high_fever,headache,nausea,constipation,abdominal_pain,toxic_look_(typhos),belly_pain,,,,,,,,"('Typhoid fever', frozenset({'chills', 'fatigue', 'headache', 'nausea', 'high_fever', 'belly_pain', 'constipation', 'vomiting', 'abdominal_pain', 'toxic_look_(typhos)'}))",21
Typhoid fever,chills,vomiting,fatigue,high_fever,headache,nausea,constipation,abdominal_pain,diarrhoea,toxic_look_(typhos),,,,,,,,"('Typhoid fever', frozenset({'chills', 'fatigue', 'headache', 'nausea', 'high_fever', 'constipation', 'diarrhoea', 'vomiting', 'abdominal_pain', 'toxic_look_(typhos)'}))",23
Typhoid fever,chills,vomiting,fatigue,high_fever,nausea,constipation,abdominal_pain,diarrhoea,toxic_look_(typhos),belly_pain,,,,,,,,"('Typhoid fever', frozenset({'chills', 'fatigue', 'nausea', 'high_fever', 'belly_pain', 'constipation', 'diarrhoea', 'vomiting', 'abdominal_pain', 'toxic_look_(typhos)'}))",17
Typhoid fever,chills,vomiting,fatigue,high_fever,headache,nausea,constipation,diarrhoea,toxic_look_(typhos),belly_pain,,,,,,,,"('Typhoid fever', frozenset({'chills', 'fatigue', 'headache', 'nausea', 'high_fever', 'belly_pain', 'constipation', 'diarrhoea', 'vomiting', 'toxic_look_(typhos)'}))",20
Typhoid fever,chills,vomiting,fatigue,high_fever,headache,nausea,constipation,abdominal_pain,toxic_look_(typhos),belly_pain,,,,,,,,"('Typhoid fever', frozenset({'chills', 'fatigue', 'headache', 'nausea', 'high_fever', 'belly_pain', 'constipation', 'vomiting', 'abdominal_pain', 'toxic_look_(typhos)'}))",21
Typhoid fever,chills,vomiting,fatigue,high_fever,headache,nausea,constipation,abdominal_pain,diarrhoea,toxic_look_(typhos),,,,,,,,"('Typhoid fever', frozenset({'chills', 'fatigue', 'headache', 'nausea', 'high_fever', 'constipation', 'diarrhoea', 'vomiting', 'abdominal_pain', 'toxic_look_(typhos)'}))",23
Typhoid fever,chills,vomiting,fatigue,high_fever,nausea,constipation,abdominal_pain,diarrhoea,toxic_look_(typhos),belly_pain,,,,,,,,"('Typhoid fever', frozenset({'chills', 'fatigue', 'nausea', 'high_fever', 'belly_pain', 'constipation', 'diarrhoea', 'vomiting', 'abdominal_pain', 'toxic_look_(typhos)'}))",17
